2019-01-13 19:13:36 ===== Starting: ShallowRedExperiment =====
2019-01-13 19:13:47 Run
2019-01-13 19:35:45 id = 2 (machine1); Seed = 116; Done (0)
2019-01-13 19:35:45 id = 2 (machine1); Seed = 121; Starting new sample
2019-01-13 19:35:50 id = 4 (machine1); Seed = 118; Done (0)
2019-01-13 19:35:50 id = 4 (machine1); Seed = 122; Starting new sample
2019-01-13 19:36:01 id = 1 (machine1); Seed = 113; Done (0)
2019-01-13 19:36:01 id = 1 (machine1); Seed = 123; Starting new sample
2019-01-13 19:36:02 id = 5 (machine1); Seed = 117; Done (0)
2019-01-13 19:36:02 id = 5 (machine1); Seed = 124; Starting new sample
2019-01-13 19:36:12 id = 3 (machine1); Seed = 120; Done (0)
2019-01-13 19:36:12 id = 3 (machine1); Seed = 125; Starting new sample
2019-01-13 19:36:36 id = 2 (machine1); Seed = 121; Done (0)
2019-01-13 19:36:36 id = 2 (machine1); Seed = 126; Starting new sample
2019-01-13 19:36:42 id = 1 (machine1); Seed = 123; Done (0)
2019-01-13 19:36:42 id = 1 (machine1); Seed = 127; Starting new sample
2019-01-13 19:36:51 id = 0 (machine1); Seed = 119; Done (0)
2019-01-13 19:36:51 id = 0 (machine1); Seed = 128; Starting new sample
2019-01-13 19:36:58 id = 4 (machine1); Seed = 122; Done (0)
2019-01-13 19:36:58 id = 4 (machine1); Seed = 129; Starting new sample
2019-01-13 19:37:18 id = 5 (machine1); Seed = 124; Done (0)
2019-01-13 19:37:18 id = 5 (machine1); Seed = 130; Starting new sample
2019-01-13 19:37:21 id = 3 (machine1); Seed = 125; Done (0)
2019-01-13 19:37:21 id = 3 (machine1); Seed = 131; Starting new sample
2019-01-13 19:37:35 id = 2 (machine1); Seed = 126; Done (0)
2019-01-13 19:37:35 id = 2 (machine1); Seed = 132; Starting new sample
2019-01-13 19:37:42 id = 0 (machine1); Seed = 128; Done (0)
2019-01-13 19:37:42 id = 0 (machine1); Seed = 133; Starting new sample
2019-01-13 19:37:56 id = 4 (machine1); Seed = 129; Done (0)
2019-01-13 19:37:56 id = 4 (machine1); Seed = 134; Starting new sample
2019-01-13 19:38:04 id = 5 (machine1); Seed = 130; Done (0)
2019-01-13 19:38:04 id = 5 (machine1); Seed = 135; Starting new sample
2019-01-13 19:38:27 id = 1 (machine1); Seed = 127; Done (0)
2019-01-13 19:38:27 id = 1 (machine1); Seed = 136; Starting new sample
2019-01-13 19:38:44 id = 5 (machine1); Seed = 135; Done (0)
2019-01-13 19:38:44 id = 5 (machine1); Seed = 137; Starting new sample
2019-01-13 19:38:47 id = 0 (machine1); Seed = 133; Done (0)
2019-01-13 19:38:47 id = 0 (machine1); Seed = 138; Starting new sample
2019-01-13 19:39:17 id = 4 (machine1); Seed = 134; Done (0)
2019-01-13 19:39:17 id = 4 (machine1); Seed = 139; Starting new sample
2019-01-13 19:39:31 id = 1 (machine1); Seed = 136; Done (0)
2019-01-13 19:39:31 id = 1 (machine1); Seed = 140; Starting new sample
2019-01-13 19:39:50 id = 3 (machine1); Seed = 131; Done (0)
2019-01-13 19:39:50 id = 3 (machine1); Seed = 141; Starting new sample
2019-01-13 19:39:58 id = 5 (machine1); Seed = 137; Done (0)
2019-01-13 19:39:58 id = 5 (machine1); Seed = 142; Starting new sample
2019-01-13 19:39:59 id = 0 (machine1); Seed = 138; Done (0)
2019-01-13 19:39:59 id = 0 (machine1); Seed = 143; Starting new sample
2019-01-13 19:40:09 id = 2 (machine1); Seed = 132; Done (0)
2019-01-13 19:40:09 id = 2 (machine1); Seed = 144; Starting new sample
2019-01-13 19:40:23 id = 1 (machine1); Seed = 140; Done (0)
2019-01-13 19:40:23 id = 1 (machine1); Seed = 145; Starting new sample
2019-01-13 19:40:29 id = 4 (machine1); Seed = 139; Done (0)
2019-01-13 19:40:29 id = 4 (machine1); Seed = 146; Starting new sample
2019-01-13 19:40:49 id = 0 (machine1); Seed = 143; Done (0)
2019-01-13 19:40:49 id = 0 (machine1); Seed = 147; Starting new sample
