2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 21:42:12 id = 3 (machine1); Seed = 151; Starting new sample
2019-01-11 21:42:27 id = 5 (machine1); Seed = 146; Done (1)
2019-01-11 21:42:27 id = 5 (machine1); Seed = 152; Starting new sample
2019-01-11 21:44:39 id = 4 (machine1); Seed = 144; Done (0)
2019-01-11 21:44:39 id = 4 (machine1); Seed = 153; Starting new sample
2019-01-11 21:45:29 id = 3 (machine1); Seed = 151; Done (0)
2019-01-11 21:45:29 id = 3 (machine1); Seed = 154; Starting new sample
2019-01-11 21:46:14 id = 0 (machine1); Seed = 145; Done (0)
2019-01-11 21:46:14 id = 0 (machine1); Seed = 155; Starting new sample
2019-01-11 21:48:08 id = 5 (machine1); Seed = 152; Done (1)
2019-01-11 21:48:08 id = 5 (machine1); Seed = 156; Starting new sample
2019-01-11 21:51:15 id = 3 (machine1); Seed = 154; Done (0)
2019-01-11 21:51:15 id = 3 (machine1); Seed = 157; Starting new sample
2019-01-11 21:51:18 id = 4 (machine1); Seed = 153; Done (0)
2019-01-11 21:51:18 id = 4 (machine1); Seed = 158; Starting new sample
2019-01-11 21:51:44 id = 0 (machine1); Seed = 155; Done (1)
2019-01-11 21:51:44 id = 0 (machine1); Seed = 159; Starting new sample
2019-01-11 21:53:26 id = 0 (machine1); Seed = 159; Done (0)
2019-01-11 21:53:26 id = 0 (machine1); Seed = 160; Starting new sample
2019-01-11 21:54:17 id = 3 (machine1); Seed = 157; Done (1)
2019-01-11 21:54:18 id = 3 (machine1); Seed = 161; Starting new sample
2019-01-11 21:54:59 id = 5 (machine1); Seed = 156; Done (1)
2019-01-11 21:54:59 id = 5 (machine1); Seed = 162; Starting new sample
2019-01-11 21:56:06 id = 2 (machine1); Seed = 150; Done (1)
2019-01-11 21:56:06 id = 2 (machine1); Seed = 163; Starting new sample
2019-01-11 21:56:34 id = 1 (machine1); Seed = 147; Done (0)
2019-01-11 21:56:34 id = 1 (machine1); Seed = 164; Starting new sample
2019-01-11 21:57:12 id = 3 (machine1); Seed = 161; Done (0)
2019-01-11 21:57:12 id = 3 (machine1); Seed = 165; Starting new sample
2019-01-11 22:01:27 id = 0 (machine1); Seed = 160; Done (1)
2019-01-11 22:01:27 id = 0 (machine1); Seed = 166; Starting new sample
2019-01-11 22:02:14 id = 4 (machine1); Seed = 158; Done (0)
2019-01-11 22:02:14 id = 4 (machine1); Seed = 167; Starting new sample
2019-01-11 22:02:49 id = 5 (machine1); Seed = 162; Done (1)
